"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 18:30:02 GMT 2023","Fri Apr 07 18:30:10 GMT 2023","8485","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_article_del",""
"passed","Fri Apr 07 18:29:18 GMT 2023","Fri Apr 07 18:29:19 GMT 2023","185","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_accept_cookie",""
"passed","Fri Apr 07 18:29:20 GMT 2023","Fri Apr 07 18:29:23 GMT 2023","2615","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_registration",""
"passed","Fri Apr 07 18:29:26 GMT 2023","Fri Apr 07 18:29:33 GMT 2023","6505","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_data_listing",""
"passed","Fri Apr 07 18:29:43 GMT 2023","Fri Apr 07 18:29:51 GMT 2023","7786","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_mod_article_title",""
"passed","Fri Apr 07 18:29:24 GMT 2023","Fri Apr 07 18:29:25 GMT 2023","841","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_login",""
"broken","Fri Apr 07 18:30:14 GMT 2023","Fri Apr 07 18:30:19 GMT 2023","5051","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_import_data_from_file",""
"passed","Fri Apr 07 18:29:34 GMT 2023","Fri Apr 07 18:29:35 GMT 2023","841","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_multi_page_list",""
"passed","Fri Apr 07 18:30:12 GMT 2023","Fri Apr 07 18:30:12 GMT 2023","855","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_saving_data_interface",""
"passed","Fri Apr 07 18:30:20 GMT 2023","Fri Apr 07 18:30:21 GMT 2023","927","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_logout",""
"passed","Fri Apr 07 18:29:52 GMT 2023","Fri Apr 07 18:30:01 GMT 2023","8571","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_new_comment",""
"passed","Fri Apr 07 18:29:36 GMT 2023","Fri Apr 07 18:29:42 GMT 2023","5430","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_new_article",""
